KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-02,4.9743,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-03,4.9752,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-06,4.9747,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-07,4.9744,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-08,4.9739,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-09,4.9734,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-10,4.9735,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-13,4.9731,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-14,4.9749,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-15,4.9742,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-16,4.9754,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-17,4.9765,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-20,4.9769,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-21,4.9768,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-22,4.9768,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-23,4.9763,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-24,4.9761,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-27,4.975,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-28,4.9749,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-01-29,4.9753,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
